clone_id,file_path_x,file_path_y,file_id_x,file_id_y,start_line_x,end_line_x,start_line_y,end_line_y,service_x,service_y,relation,comodified,comodified_commits,comodification_count,file_type_x,file_type_y,token_count
12,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,279,279,24,43,29,47,ftgo-order-service,ftgo-order-service,intra,0,[],0,test,test,0
13,ftgo-kitchen-service/src/integration-test/java/net/chrisrichardson/ftgo/kitchenservice/contract/MessagingBase.java,ftgo-restaurant-service/src/integration-test/java/net/chrisrichardson/ftgo/restaurantservice/contract/DeliveryserviceMessagingBase.java,114,293,25,32,25,32,ftgo-kitchen-service,ftgo-restaurant-service,inter,0,[],0,logic,logic,0
14,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/OrderHistoryDaoDynamoDb.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/createorder/CreateOrderSagaState.java,171,258,163,174,75,80,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,logic,logic,0
15,ftgo-order-history-service/src/test/java/net/chrisrichardson/ftgo/cqrs/orderhistory/web/OrderHistoryControllerTest.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/messaging/OrderEventConsumerTest.java,185,275,21,34,15,29,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,test,test,0
16,ftgo-order-history-service/src/test/java/net/chrisrichardson/ftgo/cqrs/orderhistory/web/OrderHistoryControllerTest.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/web/OrderControllerTest.java,185,280,42,55,63,73,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,test,test,0
17,ftgo-order-service/src/attic/AbstractOrderServiceComponentTest.java,ftgo-order-service/src/component-test/java/net/chrisrichardson/ftgo/orderservice/cucumber/OrderServiceComponentTestStepDefinitions.java,187,193,104,109,156,161,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
18,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagaparticipants/BeginReviseOrderCommand.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagaparticipants/ConfirmReviseOrderCommand.java,242,245,5,19,5,19,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
20,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/CourierJpaTest.java,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/DeliveryJpaTest.java,83,84,19,33,15,28,ftgo-delivery-service,ftgo-delivery-service,intra,0,[],0,logic,logic,0
20,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/CourierJpaTest.java,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/RestaurantJpaTest.java,83,85,19,33,16,30,ftgo-delivery-service,ftgo-delivery-service,intra,0,[],0,logic,logic,0
20,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/DeliveryJpaTest.java,ftgo-delivery-service/src/integration-test/java/net/chrisrichardson/ftgo/deliveryservice/domain/RestaurantJpaTest.java,84,85,15,28,16,30,ftgo-delivery-service,ftgo-delivery-service,intra,0,[],0,logic,logic,0
21,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/SourceEvent.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,173,207,11,23,8,20,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,logic,logic,0
21,ftgo-order-history-service/src/main/java/net/chrisrichardson/ftgo/cqrs/orderhistory/dynamodb/SourceEvent.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/OrderRevisionProposed.java,173,222,11,23,14,26,ftgo-order-history-service,ftgo-order-service,inter,0,[],0,logic,logic,0
21,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/OrderRevisionProposed.java,207,222,8,20,14,26,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
22,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/LineItemQuantityChange.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/domain/OrderRevisionProposed.java,207,222,11,26,17,32,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
23,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,254,254,48,55,62,69,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
23,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,254,259,48,55,66,73,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
23,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/cancelorder/CancelOrderSaga.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSaga.java,254,259,62,69,66,73,ftgo-order-service,ftgo-order-service,intra,0,[],0,logic,logic,0
24,ftgo-consumer-service/src/main/java/net/chrisrichardson/ftgo/consumerservice/api/ValidateOrderByConsumer.java,ftgo-order-service/src/main/java/net/chrisrichardson/ftgo/orderservice/sagas/reviseorder/ReviseOrderSagaData.java,61,260,47,61,33,48,ftgo-consumer-service,ftgo-order-service,inter,0,[],0,logic,logic,0
25,ftgo-delivery-service/src/main/java/net/chrisrichardson/ftgo/deliveryservice/domain/Delivery.java,ftgo-order-service/src/test/java/net/chrisrichardson/ftgo/orderservice/TramCommandsAndEventsIntegrationData.java,91,279,81,99,17,36,ftgo-delivery-service,ftgo-order-service,inter,0,[],0,logic,test,0
