clone_id,fragment_index,file_path,file_id,service,start_line,end_line,line_count,file_type,modified_commits,modified_count
17,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,64,67,4,test,[],0
18,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,163,170,8,test,[],0
18,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,172,179,8,test,[],0
18,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,182,189,8,test,[],0
18,3,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,115,124,10,test,[],0
19,0,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,67,81,15,test,[],0
19,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,88,103,16,test,[],0
20,0,search-service/src/main/java/com/stackroute/search/controller/LookUpController.java,83,search-service,18,29,12,logic,"[""ec10dd5bc602853c0d94ee010806cf4ef9a33413""]",1
20,1,search-service/src/main/java/com/stackroute/search/controller/SearchController.java,84,search-service,19,31,13,logic,[],0
21,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,112,117,6,test,[],0
21,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,142,147,6,test,[],0
21,2,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,81,86,6,test,[],0
21,3,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,113,118,6,test,[],0
22,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,39,58,20,test,[],0
22,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,38,56,19,test,[],0
23,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,113,122,10,test,[],0
23,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,123,131,9,test,[],0
23,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,143,151,9,test,[],0
23,3,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,153,162,10,test,[],0
23,4,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,94,104,11,test,[],0
23,5,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,104,113,10,test,[],0
24,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,132,140,9,test,[],0
24,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,82,93,12,test,[],0
25,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,192,206,15,test,[],0
25,1,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,158,173,16,test,[],0
25,2,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,116,131,16,test,[],0
26,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,184,191,8,test,[],0
26,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,106,114,9,test,[],0
27,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,152,157,6,test,[],0
27,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,113,118,6,test,[],0
28,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,163,171,9,test,[],0
28,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,172,180,9,test,[],0
28,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,182,190,9,test,[],0
28,3,recepient-profile-service/src/test/java/com/stackroute/recepientprofileservice/controller/RecepientControllerTest.java,65,recepient-profile-service,105,114,10,test,[],0
29,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,132,140,9,test,[],0
29,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,104,113,10,test,[],0
30,0,donor-profile-service/src/main/java/com/stackroute/donorprofileservice/service/DonorServiceImpl.java,25,donor-profile-service,91,101,11,logic,[],0
30,1,reportservice/src/main/java/com/stackroute/reportservice/service/ReportServiceImplementation.java,80,report-service,130,140,11,logic,[],0
31,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,76,83,8,test,[],0
31,1,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,49,56,8,test,[],0
31,2,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/service/DonorServiceTest.java,29,donor-profile-service,59,66,8,test,[],0
31,3,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,69,76,8,test,[],0
31,4,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,79,86,8,test,[],0
31,5,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,51,58,8,test,[],0
31,6,search-service/src/test/java/com/stackroute/search/service/RecommendationServiceTest.java,105,search-service,61,68,8,test,[],0
32,0,donor-profile-service/src/test/java/com/stackroute/donorprofileservice/controller/DonorControllerTest.java,27,donor-profile-service,63,73,11,test,[],0
32,1,search-service/src/test/java/com/stackroute/search/controller/RecommendationControllerTest.java,103,search-service,55,66,12,test,[],0
